Owner,Pet,Doctor,date ,Reason,Weight,Temperature,Heart_Rate,Resp_Rate,Mucous_Membranes,Lymph_Nodes,Hydration,Body_Cond,Pain_Level,Skin_and_Coat,Eyes_and_Ears,Cardiovascular,Respiratory,Digestive_or_ Abdomen,Musculoskeletal,Neurological,Urinary_or_Genital,Anamnesis,Presumptive_Diagnosis,Treatment,Next_Appointment_Date,Clarification_Notes
Client_1,Pet_1,Veterinarian_1,2026-03-16,"Recurrent vomiting and diarrhea with blood streaks for 24 hours, accompanied by lethargy and anorexia.",24.5,39.3,130,32,Pale,Reactive,Mild Dehydration,5 - Ideal,3 - Mild-Moderate,"Dull coat, slightly decreased skin turgor, no visible ectoparasites.","Normochromic sclerae, preserved pupillary light reflex, clean ear canals.","Rhythmic heart sounds without murmurs, symmetrical femoral pulses, CRT 2.5 seconds.","Clear lung fields on bilateral auscultation, no adventitious sounds.","Pain on deep abdominal palpation in the epigastric region, hyperactive bowel sounds.","Coordinated gait without lameness, spinous processes and joints non-painful on palpation.","Alert, responsive to environmental stimuli, normal cranial nerves and spinal reflexes.","Normotypic descended testicles, moderately full bladder with soft wall.","Accidental ingestion of organic trash 48 hours ago. Presents repeated bilious vomiting and dark, watery stool.",Acute hemorrhagic gastroenteritis secondary to dietary indiscretion.,"IV Lactated Ringer's solution (50 mL/kg/day), Maropitant 1 mg/kg SC q24h, Ondansetron 0.5 mg/kg IV q12h, Metronidazole 10 mg/kg IV q12h.",2026-03-19,Patient shows significant clinical improvement; resolution of vomiting and good tolerance to gradual oral rehydration.
Client_2,Pet_2,Veterinarian_1,2026-03-16,"Severe pruritus, erythema, and hair loss in ventral region, axillae, and pinnae lasting 2 weeks.",19.3,38.6,110,24,Pink,Reactive,Normal,5 - Ideal,1 - Minimal,"Diffuse erythema, lichenification, and hyperpigmentation in axillary and ventral areas with excoriations from scratching.",Erythematous ear pinnae with bilateral abundant brownish ceruminous exudate.,"Regular heart rate, normal sound intensity, absence of murmurs, CRT < 2 seconds.","Normal respiratory rate and pattern, lung fields clear to auscultation.","Abdomen soft, non-tender to palpation, no detectable organomegaly.","Symmetrical weight-bearing, full and painless joint range of motion.","Alert mental status, oriented to surroundings, preserved cranial reflexes.",Normal vulvar conformation without exudate or inflammatory signs.,Compulsive pruritus rated 8/10 for 14 days. Constant licking of interdigital spaces. Fed a regular commercial diet.,Canine atopic dermatitis complicated by secondary pyoderma and Malassezia otitis externa.,Prednisolone 0.5 mg/kg PO q24h for 5 days then q48h for 5 days; Chlorhexidine 3% / Ketoconazole 2% shampoo baths q7d; Posaconazole/Florfenicol otic drops q24h for 7 days.,2026-03-24,"Follow-up phone call: 60% reduction in pruritus, no gastrointestinal side effects reported."
Client_3,Pet_3,Veterinarian_3,2026-03-17,Intermittent left hindlimb lameness and skipping gait when trotting.,1.9,38.4,120,28,Pink,Normal,Normal,6 - Slight overweight,3 - Mild-Moderate,"Good coat condition, no ectoparasites, adequate skin turgor.","Ocular globes free of discharge, normal photomotor reflexes, clean ears.","Cardiac auscultation within normal limits, pulses symmetrical and synchronous.","Mildly positive tracheal sensitivity, physiological vesicular breath sounds bilaterally.","Soft abdomen, no evidence of pain or masses on abdominal palpation.","Grade II medial patellar luxation on left hindlimb, manually reducible. Mild discomfort on left stifle flexion.","Proprioception intact in all four limbs, no focal neurological deficits.","Normal external genitalia, both testes descended within the scrotum.",Owner noticed a 'skipping' gait on the left hindlimb for the past 3 days after jumping off the couch. No major traumatic event reported.,Grade II medial patellar luxation of the left hindlimb.,"Meloxicam 0.1 mg/kg PO q24h for 5 days, joint supplement (glucosamine/chondroitin) PO q24h, strict restriction from jumping for 14 days.",2026-03-31,More consistent weight-bearing on the limb; noticeable reduction in skipping episodes.
Client_4,Pet_4,Veterinarian_2,2026-03-17,"Paroxysmal dry hacking cough, retching, and expectoration of white foam following exercise or excitement.",2,38.8,135,36,Pink,Reactive,Normal,5 - Ideal,1 - Minimal,"Dense, clean coat, preserved skin elasticity, free of ectoparasites.","Mild bilateral clear epiphora, normal external auditory canals.","Heart rate age-appropriate, clear sounds without murmurs, CRT 1.5 seconds.","Tracheal pinch reflex strongly positive (+3/3), triggering a dry paroxysmal cough. Bilateral harsh inspiratory sounds on thoracic auscultation.","Abdomen soft on palpation, no pain or intestinal distension.","Symmetrical muscle development for age, smooth and painless locomotion.","Puppy is bright, alert, and responsive with normal reflexes.","Both testes fully descended into the scrotum, normal prepuce and micturition without discharge.","Acquired from breeder 5 days ago. Developed a dry, honking cough when excited. Apetite and activity remain high.",Infectious canine tracheobronchitis (Kennel Cough).,"Doxycycline 10 mg/kg PO q24h for 10 days, Meloxicam 0.05 mg/kg PO q24h for 3 days, 0.9% saline nebulization q12h.",2026-03-27,Decreased severity of coughing fits; puppy remains active and eating well.
Client_5,Pet_5,Veterinarian_1,2026-03-18,"Frequent watery vomiting, acute abdominal pain, anorexia, and 'prayer position' posture for 12 hours.",14.5,39.5,145,40,Congested,Normal,Moderate Dehydration,7 - Overweight,6 - Moderate-Severe,"Dull coat, reduced skin elasticity (skin tent duration 3 seconds).","Mild conjunctival injection, normal pupillary light reflexes, clean ears.","Sinus tachycardia secondary to pain, full femoral pulses, CRT 3 seconds.","Tachypneic breathing secondary to abdominal discomfort, lungs clear without rales.",Marked pain response to deep palpation in the epigastrium and cranial right quadrant with abdominal guarding.,"Antalgic 'prayer position' posture with raised hindquarters, normal joint range of motion.","Lethargic mental state, reduced response to surroundings but responsive to clinical handling.","Normotypic external genitalia, concentrated urine of reduced volume.",Ingested a large quantity of high-fat food during a family event the previous evening. Rapid onset of severe emesis and complete anorexia.,Acute pancreatitis secondary to high-fat dietary indiscretion.,"Inpatient hospitalization, IV fluid therapy with supplemented Lactated Ringer's, Tramadol 3 mg/kg IV q8h, Maropitant 1 mg/kg IV q24h, Omeprazole 1 mg/kg IV q24h.",2026-03-20,"Inpatient monitoring; abdominal pain reduced to mild/moderate (2/10), no emetic episodes in the last 12h. Positive SNAP cPL test."
Client_6,Pet_6,Veterinarian_2,2026-03-18,"Dysuria, stranguria, gross hematuria, and frequent licking of the prepuce.",24.8,38.7,115,26,Pink,Normal,Normal,5 - Ideal,4 - Moderate,"Spotted coat with good density and no ectoparasites, normal skin turgor.",Ocular and auditory structures within physiological parameters.,"Normal heart rate and rhythm, clean auscultation, CRT < 2 seconds.","Normal costoabdominal respiratory pattern, lung auscultation unremarkable.","Caudal abdomen tense, bladder distended and tender to palpation.","Coordinated gait, slight discomfort when assuming posturing for urinating.","Alert, responsive, and oriented, normal cranial nerves and spinal reflexes.","Prepuce congested, difficult passage of urine containing bloody streaks and microcrystals.","Owner observed frequent posture to urinate, producing only drops of bloody urine for the past 24 hours. High animal-protein diet.",Urocystolithiasis (ammonium urate uroliths) and secondary cystitis.,"Urethral catheterization and bladder lavage under sedation, Enrofloxacin 10 mg/kg PO q24h for 10 days, Meloxicam 0.1 mg/kg PO q24h for 5 days, Allopurinol 10 mg/kg PO q12h, transition to low-purine diet.",2026-03-25,Urination restored to steady stream and clearer color following urinary catheter removal; drinking water normally.
Client_7,Pet_7,Veterinarian_1,2026-03-19,"Prostration, severe weakness, continuous vomiting, and foul-smelling bloody diarrhea for 36 hours.",7.9,39.8,160,42,Pale,Enlarged,Severe Dehydration,3 - Thin,5 - Moderate,"Dull coat, persistent skin tenting (>4 seconds), cool extremities to touch.","Markedly sunken eyes (enophthalmos), pale conjunctivae, reflexes intact.","Severe tachycardia, weak and thready femoral pulses, CRT 3.5 seconds.","Compensatory polypnea due to metabolic acidosis, lung fields clear on auscultation.","Severe diffuse abdominal pain on palpation, thickened intestinal loops filled with fluid and gas.",Generalized muscle weakness and inability to stand for prolonged periods.,"Lethargic/stuporous mental state, moderate response to auditory and painful stimuli.","Clean vulva without discharge, oliguria secondary to severe dehydration.","Recently acquired puppy with incomplete vaccination history (only 1 dose). Febrile onset, persistent vomiting, and profuse hemorrhagic diarrhea.",Canine Parvovirus enteritis (CPV-2) confirmed by rapid antigen test.,"Isolation ICU admission, intensive IV fluid therapy with Lactated Ringer's + 2.5% Dextrose, Cefazolin 22 mg/kg IV q8h, Maropitant 1 mg/kg IV q24h, Buprenorphine 0.01 mg/kg IV q8h.",2026-03-22,Patient stable under continuous ICU monitoring; gradual reduction in vomiting (1 episode in 24 hours).
Client_8,Pet_8,Veterinarian_2,2026-03-20,"Frequent paroxysmal sneezing, mucopurulent nasal discharge, bilateral ocular epiphora, and lethargy.",2.9,39.4,190,38,Pink,Reactive,Mild Dehydration,5 - Ideal,2 - Mild,"Unkempt coat due to reduced self-grooming, slightly decreased skin turgor, presence of small focal erosions on the nasal planum.","Mild blepharospasm, bilateral seromucous ocular discharge, fluorescein stain negative.","Clear cardiac sounds, no gallop rhythm or murmurs, CRT 2 seconds.","Bilateral mucopurulent nasal discharge, moist upper airway rales, lower lungs clear.","Soft abdomen on palpation, no pain or organomegaly.","Intact musculoskeletal structure, no joint pain or swelling.","Alert, depressed due to respiratory congestion, normal spinal reflexes.","Testes descended into scrotum, normal urinary function.","Cat with outdoor access. Sneezing started 4 days ago progressing to nasal and ocular discharge, with hyporexia due to loss of smell.",Feline Respiratory Disease Complex (Feline Herpesvirus-1 / Feline Calicivirus).,"Doxycycline oral liquid suspension 10 mg/kg PO q24h for 14 days, Meloxicam 0.05 mg/kg PO q24h for 3 days, saline nebulizations and Tobramycin eye drops q8h.",2026-03-27,Favorable progress: reduced nasal congestion and recovery of appetite with warmed wet food.
Client_9,Pet_9,Veterinarian_3,2026-03-20,"Dysuria, painful vocalization when attempting to urinate in litter box, periuria, and hematuria.",3,38.5,180,30,Pink,Normal,Normal,5 - Ideal,4 - Moderate,"Glossy, well-groomed coat, no evidence of ectoparasites.","Normal ocular globes, symmetrical and normoreactive photomotor reflexes.","Regular cardiac rhythm, auscultation free of murmurs or gallop, CRT < 2 seconds.",Respiratory rate and pattern within physiological limits.,Tense caudal abdomen with pain response to palpation. Moderately firm bladder.,"Normal mobility, no manifested joint pain or lameness.","Attentive, restless due to urinary discomfort, reflexes intact.",Mildly congested penis; cloudy urine with abundant red blood cells and struvite crystals.,Recent environmental stress from moving home. Started 24 hours ago repeatedly visiting litter box with painful vocalizations and passing small amounts of blood-tinged urine.,Non-obstructive Feline Idiopathic Cystitis (FIC) and struvite crystalluria.,"Buprenorphine 0.02 mg/kg transmucosal q8h for 3 days, Prazosin 0.5 mg PO q12h for 5 days, transition to wet Urinary S/O diet and Feliway Classic diffuser.",2026-03-27,Patient passing larger urine volumes without vocalizing. Marked reduction in anxiety.
Client_10,Pet_10,Veterinarian_3,2026-03-21,"Marked abdominal distension ('pot-bellied' appearance), soft diarrhea with visible helminthes, dull coat, and lethargy.",1.1,38.1,200,34,Pale,Reactive,Mild Dehydration,3 - Thin,2 - Mild,"Dull, unkempt, and dry coat; sparse subcutaneous fat.","Pale conjunctivae, external ear canals free of parasites.","Normophonic heart sounds, appropriate rate for a kitten, CRT 2 seconds.","Lung fields clear bilaterally, no adventitious sounds.","Markedly distended pot-bellied abdomen, audible borborygmi, discomfort on deep palpation.","Reduced muscle mass for age, bone structure intact without deformities.","Kitten is alert and curious, but fatigues quickly.","Normal vulva, preserved urinary function.",Rescued kitten with no prior deworming history. Presents continuous loose stools with spontaneous passage of roundworms.,Severe gastrointestinal parasitism (Toxocara cati and Giardia lamblia).,"Fenbendazole 50 mg/kg PO q24h for 5 days, feline digestive probiotics q24h, repeat Fenbendazole dose in 14 days.",2026-04-04,Massive passage of parasites in stool; stool consistency improving and increased appetite.
